date,temperature_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,sunshine_duration,global_tilted_irradiance
2024-10-21T00:00,14.7,11.9,4.80,9.80,0.00,0.0
2024-10-21T01:00,15.1,12.6,5.00,10.20,0.00,0.0
2024-10-21T02:00,15.0,12.5,4.70,9.10,0.00,0.0
2024-10-21T03:00,14.1,12.2,4.20,8.70,0.00,0.0
2024-10-21T04:00,13.9,12.4,3.80,8.00,0.00,0.0
2024-10-21T05:00,13.3,12.4,2.80,6.20,0.00,0.0
2024-10-21T06:00,13.3,12.3,3.00,6.50,0.00,0.0
2024-10-21T07:00,14.6,13.1,3.40,7.50,0.00,2.0
2024-10-21T08:00,14.4,13.3,1.80,4.70,0.00,8.0
2024-10-21T09:00,14.4,13.5,3.70,8.40,0.00,11.0
2024-10-21T10:00,14.2,13.1,2.70,5.50,0.00,7.0
2024-10-21T11:00,15.0,12.3,3.40,6.00,0.00,9.0
2024-10-21T12:00,13.3,10.7,2.80,4.60,0.00,11.0
2024-10-21T13:00,13.3,10.5,1.40,2.90,0.00,20.0
2024-10-21T14:00,13.4,11.5,2.70,3.90,0.00,8.0
2024-10-21T15:00,13.7,11.7,1.60,3.00,0.00,6.0
2024-10-21T16:00,13.6,11.8,1.20,1.90,0.00,3.0
2024-10-21T17:00,13.6,12.1,1.80,2.70,0.00,0.0
2024-10-21T18:00,13.1,12.5,0.20,0.90,0.00,0.0
2024-10-21T19:00,12.9,12.0,0.50,1.60,0.00,0.0
2024-10-21T20:00,13.3,12.7,1.20,1.80,0.00,0.0
2024-10-21T21:00,12.7,12.4,2.30,4.50,0.00,0.0
2024-10-21T22:00,12.0,11.5,1.90,3.90,0.00,0.0
2024-10-21T23:00,11.3,10.9,2.70,5.60,0.00,0.0
2024-10-22T00:00,10.8,10.4,2.30,5.60,0.00,0.0
2024-10-22T01:00,10.8,10.3,1.70,4.60,0.00,0.0
2024-10-22T02:00,11.1,10.5,1.10,2.40,0.00,0.0
2024-10-22T03:00,10.1,8.3,1.40,2.10,0.00,0.0
2024-10-22T04:00,9.4,8.8,2.40,3.40,0.00,0.0
2024-10-22T05:00,9.2,8.7,2.70,4.00,0.00,0.0
2024-10-22T06:00,9.6,8.7,3.40,6.00,0.00,0.0
2024-10-22T07:00,10.3,9.9,2.80,5.90,0.00,10.0
2024-10-22T08:00,11.3,10.2,3.10,6.40,0.00,58.0
2024-10-22T09:00,12.5,10.7,3.00,6.80,3600.00,239.0
2024-10-22T10:00,14.0,11.3,2.70,6.50,3600.00,340.0
2024-10-22T11:00,15.1,11.5,3.10,7.30,3600.00,359.0
2024-10-22T12:00,15.4,11.0,3.80,8.30,3600.00,336.0
2024-10-22T13:00,15.7,11.1,4.10,8.60,3600.00,340.0
2024-10-22T14:00,15.7,9.8,3.80,8.00,3600.00,292.0
2024-10-22T15:00,15.4,10.1,3.50,7.10,2221.53,129.0
2024-10-22T16:00,14.5,10.3,3.00,6.30,3271.86,92.0
2024-10-22T17:00,12.5,10.2,2.00,4.30,0.00,6.0
2024-10-22T18:00,11.6,10.3,2.10,3.80,0.00,0.0
2024-10-22T19:00,10.5,9.1,1.50,2.60,0.00,0.0
2024-10-22T20:00,11.5,10.5,1.90,3.90,0.00,0.0
2024-10-22T21:00,11.9,10.3,3.00,5.50,0.00,0.0
2024-10-22T22:00,11.2,10.6,2.30,4.60,0.00,0.0
2024-10-22T23:00,11.9,11.4,2.20,4.20,0.00,0.0
2024-10-23T00:00,11.5,10.7,1.90,3.70,0.00,0.0
2024-10-23T01:00,9.8,9.6,1.50,2.30,0.00,0.0
2024-10-23T02:00,10.4,9.9,1.10,1.80,0.00,0.0
2024-10-23T03:00,8.4,8.2,2.00,3.80,0.00,0.0
2024-10-23T04:00,8.9,8.8,1.90,4.40,0.00,0.0
2024-10-23T05:00,9.4,9.4,1.30,2.90,0.00,0.0
2024-10-23T06:00,9.1,8.9,1.20,2.80,0.00,0.0
2024-10-23T07:00,9.7,9.5,1.70,3.30,0.00,8.0
2024-10-23T08:00,9.8,9.6,1.00,3.10,300.92,66.0
2024-10-23T09:00,10.6,10.5,1.40,3.80,514.93,112.0
2024-10-23T10:00,11.7,11.1,1.30,3.70,701.07,149.0
2024-10-23T11:00,12.0,11.7,1.50,3.50,3600.00,341.0
2024-10-23T12:00,14.6,12.4,1.60,3.50,3600.00,255.0
2024-10-23T13:00,15.6,12.2,2.40,4.80,0.00,116.0
2024-10-23T14:00,15.6,12.6,1.80,5.10,1027.03,149.0
2024-10-23T15:00,15.6,12.7,1.20,3.50,0.00,45.0
2024-10-23T16:00,14.7,12.9,1.90,3.90,2604.70,75.0
2024-10-23T17:00,14.1,12.6,1.80,3.70,0.00,1.0
2024-10-23T18:00,13.5,12.6,1.80,3.50,0.00,0.0
2024-10-23T19:00,11.9,11.3,1.80,3.50,0.00,0.0
2024-10-23T20:00,10.8,10.2,2.20,3.80,0.00,0.0
2024-10-23T21:00,10.4,9.6,1.80,4.20,0.00,0.0
2024-10-23T22:00,9.7,9.1,1.80,3.00,0.00,0.0
2024-10-23T23:00,9.3,8.6,2.20,3.90,0.00,0.0
2024-10-24T00:00,9.1,8.5,2.30,4.20,0.00,0.0
2024-10-24T01:00,8.7,8.1,2.00,4.20,0.00,0.0
2024-10-24T02:00,8.4,7.8,2.30,4.20,0.00,0.0
2024-10-24T03:00,8.0,7.4,2.20,4.20,0.00,0.0
2024-10-24T04:00,7.6,6.7,2.00,3.90,0.00,0.0
2024-10-24T05:00,6.8,6.2,2.00,3.50,0.00,0.0
2024-10-24T06:00,6.3,5.7,2.10,3.70,0.00,0.0
2024-10-24T07:00,6.4,5.6,2.30,4.30,0.00,14.0
2024-10-24T08:00,8.0,6.5,2.60,5.50,3600.00,115.0
2024-10-24T09:00,10.0,7.3,2.60,5.80,3600.00,235.0
2024-10-24T10:00,11.7,8.2,3.30,7.40,3600.00,334.0
2024-10-24T11:00,12.6,9.1,2.80,7.50,3600.00,396.0
2024-10-24T12:00,14.0,9.6,2.60,6.50,3600.00,411.0
2024-10-24T13:00,15.1,10.3,2.50,5.90,3600.00,380.0
2024-10-24T14:00,15.4,10.6,2.60,5.90,3600.00,308.0
2024-10-24T15:00,15.1,11.3,2.80,6.10,3600.00,202.0
2024-10-24T16:00,14.1,11.6,2.70,6.10,3009.12,83.0
2024-10-24T17:00,13.0,11.2,2.60,5.70,0.00,4.0
2024-10-24T18:00,12.1,10.8,2.30,5.00,0.00,0.0
2024-10-24T19:00,11.5,10.5,1.90,4.10,0.00,0.0
2024-10-24T20:00,11.2,10.1,2.40,4.40,0.00,0.0
2024-10-24T21:00,11.0,9.9,2.50,5.00,0.00,0.0
2024-10-24T22:00,11.3,10.2,2.50,4.90,0.00,0.0
2024-10-24T23:00,11.0,10.3,2.30,4.90,0.00,0.0
2024-10-25T00:00,10.6,10.0,2.50,5.00,0.00,0.0
2024-10-25T01:00,10.7,10.1,2.40,4.90,0.00,0.0
2024-10-25T02:00,11.0,10.2,2.60,5.30,0.00,0.0
2024-10-25T03:00,10.9,10.1,2.20,5.30,0.00,0.0
2024-10-25T04:00,10.8,10.1,2.50,5.10,0.00,0.0
2024-10-25T05:00,11.1,10.3,2.30,5.10,0.00,0.0
2024-10-25T06:00,11.5,10.5,2.40,4.90,0.00,0.0
2024-10-25T07:00,11.5,10.8,2.00,5.40,0.00,5.0
2024-10-25T08:00,11.9,11.0,2.70,5.90,0.00,58.0
2024-10-25T09:00,12.8,11.6,2.60,5.90,1668.40,126.0
2024-10-25T10:00,14.8,13.0,2.60,5.90,3600.00,290.0
2024-10-25T11:00,16.4,13.9,2.00,5.90,3600.00,355.0
2024-10-25T12:00,17.6,14.7,2.00,5.00,3600.00,376.0
2024-10-25T13:00,18.4,15.3,2.30,5.40,3600.00,312.0
2024-10-25T14:00,18.6,15.3,2.20,5.30,3600.00,225.0
2024-10-25T15:00,18.5,15.3,2.30,5.10,3150.06,132.0
2024-10-25T16:00,17.4,15.4,1.50,4.80,502.53,55.0
2024-10-25T17:00,15.7,14.5,1.30,2.50,0.00,3.0
2024-10-25T18:00,14.3,13.5,1.70,2.50,0.00,0.0
2024-10-25T19:00,13.7,13.0,1.50,2.90,0.00,0.0
2024-10-25T20:00,12.9,12.5,1.60,2.30,0.00,0.0
2024-10-25T21:00,12.5,12.1,1.40,2.50,0.00,0.0
2024-10-25T22:00,11.8,11.3,1.40,1.90,0.00,0.0
2024-10-25T23:00,11.3,10.9,1.40,2.00,0.00,0.0
